created_at,entry_id,gyroX_dps,gyroY_dps,gyroZ_dps,euclidean_sum_accel
2025-06-10T10:10:03+00:00,1,18.04,0.02,236.85,1.149
2025-06-10T10:10:23+00:00,2,21.08,-0.2,238.07,1.23
2025-06-10T10:10:44+00:00,3,17.44,1.96,243.83,1.261
2025-06-10T10:11:05+00:00,4,24.12,-0.33,242.63,0.933
2025-06-10T10:11:25+00:00,5,19.83,2.31,229.97,1.282
2025-06-10T10:11:47+00:00,6,18.28,1.15,231.52,1.096
2025-06-10T10:12:07+00:00,7,18.89,0.09,243.09,0.911
2025-06-10T10:12:28+00:00,8,17.35,2.66,248.27,1.217
2025-06-10T10:12:49+00:00,9,21.32,1.22,233.17,1.091
2025-06-10T10:13:18+00:00,10,28.01,-0.91,231.85,1.273
2025-06-10T10:13:43+00:00,11,4.37,0.73,55.04,1.088
2025-06-10T10:14:05+00:00,12,-0.23,0.06,0.05,1.084
2025-06-10T10:14:26+00:00,13,-0.14,0.08,0.09,1.099
2025-06-10T10:14:46+00:00,14,-0.18,0.17,0.07,1.088
2025-06-10T10:15:07+00:00,15,-0.18,0.35,0.06,1.087
2025-06-10T10:15:28+00:00,16,-0.05,0.25,-0.01,1.086
2025-06-10T10:15:48+00:00,17,-0.29,0.28,0.01,1.094
2025-06-10T10:16:09+00:00,18,-0.16,0.16,-0.02,1.089
2025-06-10T10:16:29+00:00,19,20.06,1.6,250.13,1.097
2025-06-10T10:16:50+00:00,20,16.37,2.47,250.13,1.227
2025-06-10T10:17:10+00:00,21,-0.1,0.33,0.09,1.09
2025-06-10T10:17:32+00:00,22,-0.14,0.27,-0.06,1.092
2025-06-10T10:17:52+00:00,23,-0.08,0.36,0.05,1.089
2025-06-17T14:43:08+05:30,24,-7.04,2.07,234.09,1.436
2025-06-17T14:43:08+05:30,25,-7.04,2.07,234.09,1.436
2025-06-17T14:43:28+05:30,26,-7.87,-3.02,228.75,1.437
2025-06-17T14:43:28+05:30,27,-7.87,-3.02,228.75,1.437
2025-06-17T14:43:49+05:30,28,-13.17,13.02,247.56,1.434
2025-06-17T14:43:49+05:30,29,-13.17,13.02,247.56,1.434
2025-06-17T14:44:09+05:30,30,-8.51,7.53,226.34,1.356
2025-06-17T14:44:09+05:30,31,-8.51,7.53,226.34,1.356
2025-06-17T14:44:30+05:30,32,-8.75,-6.49,214.54,1.938
2025-06-17T14:44:30+05:30,33,-8.75,-6.49,214.54,1.938
2025-06-17T14:44:50+05:30,34,-8.26,4.76,232.87,1.361
2025-06-17T14:44:50+05:30,35,-8.26,4.76,232.87,1.361
2025-06-17T14:45:11+05:30,36,-9.94,6.71,230.82,1.525
2025-06-17T14:45:11+05:30,37,-9.94,6.71,230.82,1.525
2025-06-17T14:45:32+05:30,38,-12.04,10.88,247.07,1.084
2025-06-17T14:45:32+05:30,39,-12.04,10.88,247.07,1.084
2025-06-17T14:45:53+05:30,40,-8.11,1.95,224.51,1.432
2025-06-17T14:45:53+05:30,41,-8.11,1.95,224.51,1.432
2025-06-17T14:46:13+05:30,42,-16.34,6.68,271.74,1.169
2025-06-17T14:46:13+05:30,43,-16.34,6.68,271.74,1.169
2025-06-17T14:46:34+05:30,44,-8.63,4.39,247.23,1.412
2025-06-17T14:46:34+05:30,45,-8.63,4.39,247.23,1.412
2025-06-17T14:46:55+05:30,46,-13.57,11.62,256.83,1.063
2025-06-17T14:46:55+05:30,47,-13.57,11.62,256.83,1.063
2025-06-17T14:47:15+05:30,48,-9.91,14.73,251.01,1.36
2025-06-17T14:47:15+05:30,49,-9.91,14.73,251.01,1.36
2025-06-17T14:47:36+05:30,50,-9.12,2.04,230.64,1.222
2025-06-17T14:47:36+05:30,51,-9.12,2.04,230.64,1.222
2025-06-17T14:47:57+05:30,52,-11.52,8.9,236.46,1.393
2025-06-17T14:47:57+05:30,53,-11.52,8.9,236.46,1.393
2025-06-17T14:48:17+05:30,54,-7.38,1.22,238.14,1.198
2025-06-17T14:48:17+05:30,55,-7.38,1.22,238.14,1.198
2025-06-17T14:48:38+05:30,56,-7.47,1.65,215.46,1.385
2025-06-17T14:48:38+05:30,57,-7.47,1.65,215.46,1.385
2025-06-17T14:48:59+05:30,58,-14.42,-0.12,255.49,1.179
2025-06-17T14:48:59+05:30,59,-14.42,-0.12,255.49,1.179
2025-06-17T14:49:19+05:30,60,-12.84,0.46,262.74,1.12
2025-06-17T14:49:19+05:30,61,-12.84,0.46,262.74,1.12
2025-06-17T14:49:40+05:30,62,-8.78,8.96,239.97,0.809
2025-06-17T14:49:40+05:30,63,-8.78,8.96,239.97,0.809
2025-06-17T14:50:01+05:30,64,-11.71,15.7,253.48,0.846
2025-06-17T14:50:01+05:30,65,-11.71,15.7,253.48,0.846
2025-06-17T14:50:22+05:30,66,-9.39,6.77,243.93,1.23
2025-06-17T14:50:22+05:30,67,-9.39,6.77,243.93,1.23
2025-06-17T14:50:42+05:30,68,-8.48,3.08,249.85,1.282
2025-06-17T14:50:42+05:30,69,-8.48,3.08,249.85,1.282
2025-06-17T14:51:03+05:30,70,-14.57,11.34,268.48,1.262
2025-06-17T14:51:03+05:30,71,-14.57,11.34,268.48,1.262
2025-06-17T14:51:24+05:30,72,-11.65,3.75,221.52,1.744
2025-06-17T14:51:24+05:30,73,-11.65,3.75,221.52,1.744
2025-06-17T14:51:44+05:30,74,-8.08,-1.04,217.47,1.063
2025-06-17T14:51:44+05:30,75,-8.08,-1.04,217.47,1.063
2025-06-17T14:52:05+05:30,76,-7.35,-12.5,208.57,1.317
2025-06-17T14:52:05+05:30,77,-7.35,-12.5,208.57,1.317
2025-06-17T14:52:25+05:30,78,-10.82,1.86,238.75,1.225
2025-06-17T14:52:25+05:30,79,-10.82,1.86,238.75,1.225
2025-06-17T14:52:46+05:30,80,-7.56,2.38,225.34,1.256
2025-06-17T14:52:46+05:30,81,-7.56,2.38,225.34,1.256
2025-06-17T14:53:06+05:30,82,-13.57,-5.88,237.56,1.163
2025-06-17T14:53:06+05:30,83,-13.57,-5.88,237.56,1.163
2025-06-17T14:53:27+05:30,84,-11.16,4.3,236.59,1.015
2025-06-17T14:53:27+05:30,85,-11.16,4.3,236.59,1.015
2025-06-17T14:53:48+05:30,86,-9.51,-4.45,227.26,1.39
2025-06-17T14:53:48+05:30,87,-9.51,-4.45,227.26,1.39
2025-06-17T14:54:08+05:30,88,-14.54,5.52,251.65,0.998
2025-06-17T14:54:08+05:30,89,-14.54,5.52,251.65,0.998
2025-06-17T14:54:30+05:30,90,-8.41,-9.85,210.67,1.335
2025-06-17T14:54:30+05:30,91,-8.41,-9.85,210.67,1.335
2025-06-17T14:54:51+05:30,92,-11.98,3.96,248.26,1.007
2025-06-17T14:54:51+05:30,93,-11.98,3.96,248.26,1.007
2025-06-17T14:55:11+05:30,94,-10.64,-1.19,232.93,1.423
2025-06-17T14:55:11+05:30,95,-10.64,-1.19,232.93,1.423
2025-06-17T14:55:32+05:30,96,-8.23,6.13,238.96,0.955
2025-06-17T14:55:32+05:30,97,-8.23,6.13,238.96,0.955
2025-06-17T14:55:53+05:30,98,-8.96,-2.9,224.94,1.196
2025-06-17T14:55:53+05:30,99,-8.96,-2.9,224.94,1.196
2025-06-17T14:56:14+05:30,100,-10.18,7.26,228.11,1.533
2025-06-17T14:56:14+05:30,101,-10.18,7.26,228.11,1.533
2025-06-17T14:56:34+05:30,102,-13.87,5.24,253.17,1.03
2025-06-17T14:56:34+05:30,103,-13.87,5.24,253.17,1.03
2025-06-17T14:56:55+05:30,104,-10.09,3.81,242.35,1.153
2025-06-17T14:56:55+05:30,105,-10.09,3.81,242.35,1.153
2025-06-17T14:57:16+05:30,106,-16.83,9.24,266.22,1.29
2025-06-17T14:57:16+05:30,107,-16.83,9.24,266.22,1.29
